galaxy,model,n_outer,loss,rms,pipeline_failure,invalid_outer_rows
NGC2955,profiled_baryons,5,13.421186841925834,47.75988015546244,False,0
NGC2976,profiled_baryons,6,1.4434258557539505,5.629928659291637,False,0
NGC2998,profiled_baryons,3,110.9870771978542,28.52041756650575,False,0
NGC3109,profiled_baryons,5,112.07932838109056,33.09823343127226,False,0
NGC3198,profiled_baryons,9,564.4220443605864,51.487507264741616,False,0
NGC3521,profiled_baryons,9,37.97854609585539,50.178057057040476,False,0
NGC3726,profiled_baryons,3,29.109442719569994,63.593436541097496,False,0
NGC3741,profiled_baryons,5,158.64526581854827,31.764690763047067,False,0
NGC3769,profiled_baryons,3,25.76069667348469,52.57698586452219,False,0
NGC3877,profiled_baryons,3,1.4487364517991395,6.076412580852196,False,0
NGC3893,profiled_baryons,2,13.765199380669731,46.13145484387951,False,0
NGC3917,profiled_baryons,4,10.102951238178104,17.567624301354474,False,0
NGC3953,profiled_baryons,2,1.4152103385676587,9.558014511827745,False,0
NGC3972,profiled_baryons,2,13.0018326868934,18.914086648812987,False,0
NGC3992,profiled_baryons,2,45.45682368704183,49.13003752654543,False,0
NGC4010,profiled_baryons,3,17.772897379323116,19.060731223322442,False,0
NGC4013,profiled_baryons,8,116.17372670557978,60.26506894862263,False,0
NGC4088,profiled_baryons,3,28.828343070650806,39.85287742544103,False,0
NGC4100,profiled_baryons,5,14.992128029485201,28.56594895539566,False,0
NGC4157,profiled_baryons,4,23.086941159780324,56.59572271966713,False,0
NGC4183,profiled_baryons,5,13.284563114471315,24.70348810512408,False,0
NGC4217,profiled_baryons,4,18.448275750109786,36.5453178408838,False,0
NGC4559,profiled_baryons,7,3.1112343196093972,10.478753167657876,False,0
NGC5005,profiled_baryons,4,2.328917689616163,33.56959533412196,False,0
NGC5033,profiled_baryons,5,112.66832942519218,38.70570084483903,False,0
NGC5055,profiled_baryons,6,4490.429447967466,69.91248025928031,False,0
NGC5371,profiled_baryons,4,70.16672981923013,38.71165117970164,False,0
NGC5585,profiled_baryons,5,140.60439089166147,18.941499657105297,False,0
NGC5907,profiled_baryons,4,162.51481270846028,48.34617340217526,False,0
NGC5985,profiled_baryons,7,36.75385737656676,25.038252030658402,False,0
NGC6015,profiled_baryons,9,80.49398922949412,41.60022020235669,False,0
NGC6195,profiled_baryons,5,57.86347724398077,41.405815266315734,False,0
NGC6503,profiled_baryons,7,210.99484549922983,37.11413962815009,False,0
NGC6674,profiled_baryons,3,343.7960497363229,57.719229691934814,False,0
NGC6946,profiled_baryons,12,5.268554216006854,28.565393989391474,False,0
NGC7331,profiled_baryons,8,178.76275031264234,64.78299099230996,False,0
NGC7793,profiled_baryons,10,7.690656884306323,20.83064618768282,False,0
NGC7814,profiled_baryons,4,107.24924594028029,49.80434514960571,False,0
UGC00128,profiled_baryons,5,150.60848047753908,34.56063992617816,False,0
UGC00191,profiled_baryons,2,25.769939708983042,5.24674196139554,False,0
UGC00731,profiled_baryons,3,1.2296217068029163,3.5210822314334926,False,0
UGC01281,profiled_baryons,5,inf,inf,True,5
UGC02259,profiled_baryons,2,14.136734764137277,10.55957793159619,False,0
UGC02487,profiled_baryons,4,143.0903863655135,58.59084678732713,False,0
UGC02885,profiled_baryons,4,52.39912262805291,72.38723825927669,False,0
UGC02916,profiled_baryons,9,0.32031112642990267,6.243232757388682,False,0
UGC02953,profiled_baryons,23,646.8004592351392,82.44398612583801,False,0
UGC03205,profiled_baryons,10,404.7924570221495,50.70507239624139,False,0
UGC03546,profiled_baryons,6,61.87665711661799,37.05035160738197,False,0
UGC03580,profiled_baryons,10,647.0947619385481,42.51152282243267,False,0
UGC04278,profiled_baryons,5,2.0395492000284325,12.074089910395308,False,0
UGC04325,profiled_baryons,2,0.2814536514880054,1.6180922696086182,False,0
UGC04483,profiled_baryons,2,17.172926532068033,6.318638855754875,False,0
UGC04499,profiled_baryons,2,3.466637529023903,4.962039635389371,False,0
UGC05005,profiled_baryons,3,9.65711475260989,31.075898623547303,False,0
UGC05253,profiled_baryons,15,297.12036536448096,57.274936201115565,False,0
