galaxy,model,n_outer,valid,loss,rmse_kms
ESO563-G021,adaptive_primary,6,True,43.78827185269659,58.86433617581448
ESO563-G021,baryon_only,6,True,599.1129539396942,223.66674307287786
ESO563-G021,compact_plummer,6,True,43.78827185269659,58.86433617581448
ESO563-G021,extended,6,True,22.61888286653283,42.046891970041315
ESO563-G021,nfw,6,True,1.6929467447847921,11.048625696820418
ESO563-G021,profiled_baryons,6,True,85.84125675042982,82.99978792664477
ESO563-G021,scalar_core,6,True,43.788274011877924,58.86433767053927
F568-3,adaptive_primary,4,True,3.048020831124534,20.57519006317139
F568-3,baryon_only,4,True,39.61726418077201,70.61617422096178
F568-3,compact_plummer,4,True,3.048020830493618,20.57519006111388
F568-3,extended,4,True,3.048020830493618,20.57519006111388
F568-3,nfw,4,True,0.038487721704269354,2.086749449441705
F568-3,profiled_baryons,4,True,3.3117539189179706,21.00907096032302
F568-3,scalar_core,4,True,3.048021125589856,20.575191023468463
F568-V1,adaptive_primary,3,True,0.4005599083364048,9.154386584008462
F568-V1,baryon_only,3,True,22.672064860107856,70.60432885485167
F568-V1,compact_plummer,3,True,2.497164976427953,22.649154156877454
F568-V1,extended,3,True,0.8647872372906106,13.36671229988669
F568-V1,nfw,3,True,1.1245161148610092,15.24101944137511
F568-V1,profiled_baryons,3,True,0.9908231338817911,14.47126974823707
F568-V1,scalar_core,3,True,2.373312378203215,22.07514771068191
F571-8,adaptive_primary,3,True,4.582737013281906,10.511192485677986
F571-8,baryon_only,3,True,662.5133231928752,110.78463494787692
F571-8,compact_plummer,3,True,4.582737013281906,10.511192485677986
F571-8,extended,3,True,4.582737021658372,10.511192494407782
F571-8,nfw,3,True,22.251974009325384,22.771323725900487
F571-8,profiled_baryons,3,True,372.17809673493167,83.74248471554776
F571-8,scalar_core,3,True,4.5827369353740846,10.511192404483902
F574-1,adaptive_primary,3,True,0.0034002603875285336,0.26612639524521126
F574-1,baryon_only,3,True,120.57977595696146,51.44466149921336
F574-1,compact_plummer,3,True,3.8428598015801025,9.294168212869096
F574-1,extended,3,True,1.4202071242583487,5.659697953896281
F574-1,nfw,3,True,3.245582652629231,8.587970654315248
F574-1,profiled_baryons,3,True,1.2765869096758342,5.286669400018422
F574-1,scalar_core,3,True,3.5524529336874426,8.949668546977684
F583-1,adaptive_primary,5,True,3.6221041253210884,12.580537677492213
F583-1,baryon_only,5,True,39.236097687932855,48.720526646717516
F583-1,compact_plummer,5,True,3.6221041212044547,12.580537669792026
F583-1,extended,5,True,3.622104131858324,12.58053768972014
F583-1,nfw,5,True,8.6527199186241,19.88063604990707
F583-1,profiled_baryons,5,True,3.125718586659692,13.673120482988056
F583-1,scalar_core,5,True,3.622104121193425,12.580537669771394
F583-4,adaptive_primary,3,True,1.435669435635938,5.871151773682816
F583-4,baryon_only,3,True,50.57742999706996,34.84772724625883
F583-4,compact_plummer,3,True,4.888283716942181,10.833637064429553
F583-4,extended,3,True,1.0955632296983981,5.12878866254582
F583-4,nfw,3,True,0.11470738235392074,1.6595554375547796
