theta_radians,theta_over_pi_half,lambda_min_B_over_E,lambda_max_B_over_E,D_matrix,D_formula,E_s_over_E,E_a_over_E,virial_over_E,entropy_change
6.4795348480289494e-01,4.1250000000000009e-01,1.0133967311364644e-01,8.9866032688635356e-01,1.2814213077299039e+00,1.2814213077299039e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.2801660470419636e-01
6.5188047561988216e-01,4.1500000000000004e-01,1.0252782330624499e-01,8.9747217669375501e-01,1.2788359804110736e+00,1.2788359804110736e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.3060193202302668e-01
6.5580746643686938e-01,4.1750000000000004e-01,1.0372210301150461e-01,8.9627789698849547e-01,1.2762527766170237e+00,1.2762527766170237e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.3318513581707654e-01
6.5973445725385660e-01,4.2000000000000004e-01,1.0492249381215481e-01,8.9507750618784532e-01,1.2736718152139197e+00,1.2736718152139195e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.3576609722018058e-01
6.6366144807084382e-01,4.2249999999999999e-01,1.0612897719668454e-01,8.9387102280331543e-01,1.2710932143937892e+00,1.2710932143937892e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.3834469804031109e-01
6.6758843888783115e-01,4.2500000000000004e-01,1.0734153455962757e-01,8.9265846544037242e-01,1.2685170916791715e+00,1.2685170916791715e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.4092082075492880e-01
6.7151542970481837e-01,4.2750000000000005e-01,1.0856014720184920e-01,8.9143985279815086e-01,1.2659435639276562e+00,1.2659435639276562e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.4349434850644411e-01
6.7544242052180559e-01,4.3000000000000005e-01,1.0978479633083515e-01,8.9021520366916485e-01,1.2633727473363181e+00,1.2633727473363181e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.4606516509778218e-01
6.7936941133879281e-01,4.3250000000000005e-01,1.1101546306098078e-01,8.8898453693901924e-01,1.2608047574460555e+00,1.2608047574460555e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.4863315498804481e-01
6.8329640215578002e-01,4.3500000000000000e-01,1.1225212841388278e-01,8.8774787158611723e-01,1.2582397091458224e+00,1.2582397091458224e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.5119820328827789e-01
6.8722339297276736e-01,4.3750000000000006e-01,1.1349477331863156e-01,8.8650522668136844e-01,1.2556777166767707e+00,1.2556777166767707e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.5376019575732953e-01
6.9115038378975457e-01,4.4000000000000006e-01,1.1474337861210543e-01,8.8525662138789452e-01,1.2531188936362951e+00,1.2531188936362951e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.5631901879780514e-01
6.9507737460674179e-01,4.4250000000000006e-01,1.1599792503926616e-01,8.8400207496073380e-01,1.2505633529819857e+00,1.2505633529819857e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.5887455945211455e-01
6.9900436542372901e-01,4.4500000000000001e-01,1.1725839325345591e-01,8.8274160674654389e-01,1.2480112070354936e+00,1.2480112070354936e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.6142670539860666e-01
7.0293135624071623e-01,4.4750000000000001e-01,1.1852476381669561e-01,8.8147523618330437e-01,1.2454625674863071e+00,1.2454625674863071e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.6397534494779316e-01
7.0685834705770356e-01,4.5000000000000007e-01,1.1979701719998458e-01,8.8020298280001563e-01,1.2429175453954429e+00,1.2429175453954426e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,3.6652036703865742e-01
