z,virial_over_E,sharp_lower_bound,local_quadratic
3.9600000000000002e-01,2.3959999999999999e+00,3.3370804089205390e-05,3.3333333333333396e-05
3.9800000000000002e-01,2.3980000000000001e+00,8.3379900195708519e-06,8.3333333333333490e-06
4.0000000000000002e-01,2.3999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00
4.0200000000000002e-01,2.4020000000000001e+00,8.3287306599354877e-06,8.3333333333333490e-06
4.0400000000000003e-01,2.4039999999999999e+00,3.3296726805104315e-05,3.3333333333333396e-05
4.0600000000000003e-01,2.4060000000000001e+00,7.4877175482865321e-05,7.5000000000000129e-05
4.0800000000000003e-01,2.4079999999999999e+00,1.3304390021405890e-04,1.3333333333333358e-04
4.1000000000000003e-01,2.4100000000000001e+00,2.0777135538732096e-04,2.0833333333333373e-04
4.1200000000000003e-01,2.4119999999999999e+00,2.9903462081485969e-04,3.0000000000000052e-04
4.1400000000000003e-01,2.4140000000000001e+00,4.0680939644321089e-04,4.0833333333333406e-04
4.1600000000000004e-01,2.4159999999999999e+00,5.3107199722012000e-04,5.3333333333333433e-04
4.1799999999999998e-01,2.4180000000000001e+00,6.7179934811138070e-04,6.7499999999999700e-04
4.1999999999999998e-01,2.4199999999999999e+00,8.2896897926625426e-04,8.3333333333333024e-04
4.2199999999999999e-01,2.4220000000000002e+00,1.0025590213302224e-03,1.0083333333333301e-03
4.2399999999999999e-01,2.4239999999999999e+00,1.1925482008988131e-03,1.1999999999999966e-03
4.2599999999999999e-01,2.4260000000000002e+00,1.3989158361146260e-03,1.4083333333333300e-03
4.2799999999999999e-01,2.4279999999999999e+00,1.6216418324014291e-03,1.6333333333333297e-03
4.2999999999999999e-01,2.4300000000000002e+00,1.8607066783355129e-03,1.8749999999999965e-03
4.3200000000000000e-01,2.4319999999999999e+00,2.1160914416502620e-03,2.1333333333333300e-03
4.3400000000000000e-01,2.4340000000000002e+00,2.3877777653742924e-03,2.4083333333333296e-03
4.3600000000000000e-01,2.4359999999999999e+00,2.6757478640975219e-03,2.6999999999999967e-03
4.3800000000000000e-01,2.4380000000000002e+00,2.9799845203674555e-03,3.0083333333333303e-03
4.4000000000000000e-01,2.4399999999999999e+00,3.3004710812101490e-03,3.3333333333333301e-03
4.4200000000000000e-01,2.4420000000000002e+00,3.6371914547764436e-03,3.6749999999999968e-03
4.4400000000000001e-01,2.4440000000000000e+00,3.9901301071102110e-03,4.0333333333333306e-03
4.4600000000000001e-01,2.4460000000000002e+00,4.3592720590388198e-03,4.4083333333333309e-03
4.4800000000000001e-01,2.4480000000000000e+00,4.7446028831812856e-03,4.7999999999999978e-03
4.5000000000000001e-01,2.4500000000000002e+00,5.1461087010762213e-03,5.2083333333333313e-03
4.5200000000000001e-01,2.4520000000000000e+00,5.5637761804249661e-03,5.6333333333333313e-03
4.5400000000000001e-01,2.4540000000000002e+00,5.9975925324504895e-03,6.0749999999999988e-03
4.5600000000000002e-01,2.4560000000000000e+00,6.4475455093694276e-03,6.5333333333333328e-03
4.5800000000000002e-01,2.4580000000000002e+00,6.9136234019779308e-03,7.0083333333333326e-03
4.6000000000000002e-01,2.4600000000000000e+00,7.3958150373468479e-03,7.5000000000000006e-03
4.6200000000000002e-01,2.4620000000000002e+00,7.8941097766289797e-03,8.0083333333333326e-03
4.6400000000000002e-01,2.4640000000000000e+00,8.4084975129742334e-03,8.5333333333333337e-03
4.6600000000000003e-01,2.4660000000000002e+00,8.9389686695533557e-03,9.0750000000000015e-03
4.6800000000000003e-01,2.4680000000000000e+00,9.4855141976880469e-03,9.6333333333333358e-03
4.7000000000000003e-01,2.4700000000000002e+00,1.0048125575088759e-02,1.0208333333333335e-02
4.7200000000000003e-01,2.4720000000000000e+00,1.0626794804195455e-02,1.0800000000000002e-02
4.7400000000000003e-01,2.4740000000000002e+00,1.1221514410625244e-02,1.1408333333333338e-02
4.7600000000000003e-01,2.4760000000000000e+00,1.1832277441721925e-02,1.2033333333333337e-02
4.7800000000000004e-01,2.4780000000000002e+00,1.2459077465209661e-02,1.2675000000000004e-02
4.7999999999999998e-01,2.4800000000000000e+00,1.3101908567948087e-02,1.3333333333333320e-02
4.8199999999999998e-01,2.4820000000000002e+00,1.3760765354790414e-02,1.4008333333333322e-02
