augmented,baseline,fit_mode,region,galaxy,augmented_loss,baseline_loss,augmented_rms_kms,baseline_rms_kms
A_nfw,bar_fixed,inner,outer,NGC0801,24.794734839083443,443.32685157941705,19.317339563994963,80.1305742841308
A_nfw,bar_fixed,inner,outer,NGC0891,1.2427048363342064,225.62380111779828,4.8987947352812995,57.204733301587886
A_nfw,bar_fixed,inner,outer,NGC1003,8.045753839567023,1225.660422124014,6.087873858900482,74.10503628556512
A_nfw,bar_fixed,inner,outer,NGC1090,1.490498691640449,935.6501719526426,2.7225173908827083,68.21213044688824
A_nfw,bar_fixed,inner,outer,NGC2403,6.606952406931543,2899.5946464743815,5.154276347085551,78.4709506715605
A_nfw,bar_fixed,inner,outer,NGC2683,0.036618632263208335,54.39598370295218,1.9206986837910265,77.74576752142465
A_nfw,bar_fixed,inner,outer,NGC2841,23.677368404651833,1255.0039472948588,26.41079364241142,172.02723149627894
A_nfw,bar_fixed,inner,outer,NGC2903,20.214119857921222,646.0147988428702,15.225387670040718,85.551931584342
A_nfw,bar_fixed,inner,outer,NGC2915,0.061849299541748726,101.59487725660058,1.5841801748815763,61.479490463011736
A_nfw,bar_fixed,inner,outer,NGC2955,4.862150522892244,26.12254559844945,25.240403921122823,66.99302342047716
A_nfw,bar_fixed,inner,outer,NGC2976,2.99229896823881,25.08930996235173,7.4395408324743,21.601549273558398
A_nfw,bar_fixed,inner,outer,NGC2998,5.937847962533859,1285.1420750367167,6.554981599601531,91.141387632244
A_nfw,bar_fixed,inner,outer,NGC3109,5.090497021854595,204.0652632132374,7.055229953195274,44.67146885663472
A_nfw,bar_fixed,inner,outer,NGC3198,4.203525088102142,1415.761969338007,4.150163728685643,80.83854865675568
A_nfw,bar_fixed,inner,outer,NGC3521,24.45522169234266,54.54146625089034,40.07822612467877,63.20086900791199
